rowid,code,FY,land_value,inf_new,edu_new,wel_new,env_new,ind_new,fir_new,gen_new
1,2201,2010,40719.354838709674,184597,110089,4658,17806,29923,230,19407
2,2201,2011,38309.67741935484,183997,108416,4488,18053,28181,222,18889
3,2201,2012,36306.45161290323,182934,108223,4392,18086,26499,217,18576
4,2201,2013,35058.06451612903,181975,110323,4747,24582,24753,228,19137
5,2201,2014,34274.1935483871,180938,110158,5333,27217,23304,221,20685
6,2202,2010,26642.30769230769,161038,64034,5346,2577,16380,1230,7551
7,2202,2011,25430.76923076923,159492,64264,5189,2418,15640,1168,7504
8,2202,2012,24461.53846153846,158026,64295,5007,2339,14872,1164,8769
9,2202,2013,23734.615384615383,157566,66694,4748,2252,14164,1434,12037
10,2202,2014,23334.615384615383,156664,67438,4499,2176,13641,1604,13154
11,2203,2010,38182.35294117647,156948,77331,2456,2864,13451,198,10987
12,2203,2011,35997.05882352941,156535,78810,2421,4634,14300,180,11222
13,2203,2012,34235.294117647056,156345,77558,2198,6322,14266,203,11086
14,2203,2013,33155.882352941175,156635,77915,1999,6521,14397,328,11015
15,2203,2014,32505.882352941175,156526,78880,1909,6222,14005,415,11069
16,2204,2010,14240,25910,16942,607,824,4496,134,3933
17,2204,2011,13340,25640,16554,599,796,4331,183,3828
18,2204,2012,12560,25278,16333,570,782,4158,201,3736
19,2204,2013,12040,24912,16004,708,762,3998,250,3604
20,2204,2014,11660,24593,15758,693,739,3860,410,3561
21,2205,2010,11280,56591,21447,2105,3470,6173,978,9676
22,2205,2011,10610,55850,21536,1955,3224,5771,1177,9290
23,2205,2012,9980,55098,22651,1814,3017,5399,1260,8778
24,2205,2013,9520,55846.333333333336,21878,1958,3237,5781,1138.3333333333333,9248
25,2205,2014,9200,55846.333333333336,21878,1958,3237,5781,1138.3333333333333,9248
26,2206,2010,15000,53807,21536,985,484,6865,606,14096
27,2206,2011,14325,53565,21421,937,462,6593,575,13586
28,2206,2012,13837.5,53289,22515,891,430,6323,548,13447
29,2206,2013,13550,53280,22546,837,417,6141,552,13417
30,2206,2014,13400,52960,23193,812,394,5948,537,13458
31,2207,2010,15120,57078,25262,2804,5355,7831,1453,5894
32,2207,2011,14300,57162,25325,2701,5043,7639,1518,5953
33,2207,2012,13900,57138,25331,2607,4730,8341,1447,5990
34,2207,2013,13620,57185,24935,2525,4465,7919,1552,5663
35,2207,2014,13520,56951,25260,2379,4217,7612,1512,5361
36,2209,2010,9120,24483,23560,4158,3121,15350,1644,4460
37,2209,2011,8550,24569,24440,4022,2938,14856,1819,4284
38,2209,2012,8080,24793,24179,3918,2755,14522,1769,4194
39,2209,2013,7720,25171,23743,3689,2568,14169,1699,3937
40,2209,2014,7440,25533,23328,3442,2385,13751,2163,3696
41,2210,2010,10242.857142857143,22614,22585,1032,2373,8060,829,5169
42,2210,2011,9614.285714285714,22641,22275,972,2225,7656,827,5013
43,2210,2012,9042.857142857143,22610,21768,897,2090,7277,818,4948
44,2210,2013,8614.285714285714,22492,21755,828,1479,7136,908,5155
45,2210,2014,8285.714285714286,22594,21424,829,1383,6773,1155,4978
46,3201,2010,49223.88888888889,296030,102323,7280,19736,15380,2174,14590
47,3201,2011,46459.444444444445,297800,102600,7200,20600,15200,14700,2100
48,3201,2012,45137.77777777778,298221,101569,6924,20325,14935,2249,14576
49,3201,2013,45179.07407407407,299700,101600,6700,19300,14900,2200,15400
50,3201,2014,45980.18518518518,300600,102100,6600,18300,14600,1700,15600
51,3202,2010,19397.69230769231,42487,29379,2880,3101,34810,2393,6359
52,3202,2011,19423.076923076922,42022,29412,2909,2970,33278,2295,6116
53,3202,2012,20637.69230769231,42435,29492,2706,2802,31941,2286,5904
54,3202,2013,21541.53846153846,52797,29248,2490,1694,31404,2251,6118
55,3202,2014,21700,44935.25,29382.75,2746.25,2641.75,32858.25,2306.25,6124.25
56,3205,2010,18263.333333333332,106237,50132,3296,2180,18181,2518,11934
57,3205,2011,17468.666666666668,107573,50573,3179,2042,17101,2824,11788
58,3205,2012,16762,107261,49554,3064,1953,16138,2795,11951
59,3205,2013,16334,106675,48734,2944,1955,15141,2766,12057
60,3205,2014,16101.333333333334,106146,48349,2833,1878,14171,3297,12048
61,3206,2010,31390,84555,41026,1321,1379,11032,800,8007
62,3206,2011,29680,83957,46086,932,1601,9181,941,10100
63,3206,2012,28415,81490,43046,887,1510,8466,892,9941
64,3206,2013,28140,79297,42327,909,1425,4740,931,13644
65,3206,2014,28140,78333,41236,851,1342,4186,1040,12815
66,3207,2010,18243.75,31505,19314,1936,393,19575,1758,5504
67,3207,2011,17391.25,31235,19087,1841,371,18835,1719,5427
68,3207,2012,16641.25,30327,18525,1724,347,17989,1608,5129
69,3207,2013,16125,29422,17964,1609,323,17177,1502,4834
70,3207,2014,15751.25,30622.25,18722.5,1777.5,358.5,18394,1646.75,5223.5
71,3208,2010,14541.666666666666,32429,15671,1635,3614,18424,1024,6829
72,3208,2011,14040,32732,15792,1795,3496,18095,2210,6847
73,3208,2012,13641.666666666666,32646,18742,1702,3338,17456,2514,6678
74,3208,2013,13483.333333333334,32684,19001,1598,3088,16426,2472,6552
75,3208,2014,13323.333333333334,32351,19465,1564,2925,15826,3252,7090
76,3213,2010,20457.14285714286,47059,17646,1623,703,7894,772,4470
77,3213,2011,19614.285714285714,46547,17443,1583,658,7625,792,4450
78,3213,2012,18914.285714285714,46025,17651,1520,605,7329,772,4343
79,3213,2013,18128.571428571428,45637,19912,1463,574,7005,819,4626
80,3213,2014,17342.85714285714,46317,18163,1547.25,635,7463.25,788.75,4472.25
81,3216,2010,32325,25336,14585,1110,5655,2586,427,2981
82,3216,2011,30600,25211,14458,1194,1030,2739,419,3010
83,3216,2012,29662.5,25007,14323,1144,1512,2613,410,3075
84,3216,2013,29237.5,25342,14302,1151,1640,2942,400,3620
85,3216,2014,29262.5,25265,14323,1119,597,2834,412,4614
86,4100,2010,74089.79591836735,1118877,442873,45760,95311,23259,22476,116506
87,4100,2011,74706.12244897959,1113457,438980,45498,90645,22055,22124,114297
88,4100,2012,76787.75510204081,1130071,437852,44240,87140,21718,21913,111759
89,4100,2013,80112.24489795919,1171142,417689,43321,82073,21759,22383,108430
90,4100,2014,83191.83673469388,1224688,433092,42652,81058,23584,23447,108267
91,4202,2010,23954.615384615383,100411,69670,9707,5475.5,42196,3157.5,21935.5
92,4202,2011,25876.923076923078,100411,69670,9707,5475.5,42196,3157.5,21935.5
93,4202,2012,27419.23076923077,92761,69480,9542,5680,40455,2721,22351
94,4202,2013,29188.46153846154,108061,69860,9872,5271,43937,3594,21520
95,4202,2014,29911.53846153846,100411,69670,9707,5475.5,42196,3157.5,21935.5
96,4203,2010,35800,44491,13266,944,3131,3404,173,4428
97,4203,2011,36225,43292,12876,903,2933,3281,160,4392
98,4203,2012,37075,42846,12548,925,2831,3256,152,4583
99,4203,2013,38200,44297,12795,890,2755,4010,151,4804
100,4203,2014,38775,49828,12974,854,2656,5778,194,4980
101,4205,2010,18900,43209.5,32798.5,2449,6173,28069.5,1196,5021
102,4205,2011,19016.666666666668,43209.5,32798.5,2449,6173,28069.5,1196,5021
103,4205,2012,19216.666666666668,31529,32930,2475,6335,25292,1179,4839
104,4205,2013,19316.666666666668,54890,32667,2423,6011,30847,1213,5203
105,4205,2014,19316.666666666668,43209.5,32798.5,2449,6173,28069.5,1196,5021
106,4207,2010,51625,53265,35703,1755,1060,1670,1297,2507
107,4207,2011,51625,52630,34752,1681,997,1535,1272,2412
108,4207,2012,52625,52467,34308,1617,931,1531,1283,2338
109,4207,2013,54000,56593,34254,1558,942,2110,1325,2432
110,4207,2014,55700,58244,35722,1492,1073,4030,1472,2899
111,4208,2010,16175,21578,9391,2534,151,2647,264,2236
112,4208,2011,15625,20912,9939,2427,146,2524,258,2258
113,4208,2012,15525,20520,9989,2324,141,2410,345,2240
114,4208,2013,15425,21025,9817,2243,136,2347,322,2576
115,4208,2014,15350,21008.75,9784,2382,143.5,2482,297.25,2327.5
116,4209,2010,57833.333333333336,43074,31594,2087,103,780,395,9393
117,4209,2011,58500,43245,32453,2816,102,860,378,9185
118,4209,2012,59233.333333333336,43159.5,32023.5,2451.5,102.5,820,386.5,9289
119,4209,2013,60100,43159.5,32023.5,2451.5,102.5,820,386.5,9289
120,4209,2014,60466.666666666664,43159.5,32023.5,2451.5,102.5,820,386.5,9289
121,4212,2010,10493.5,69588,40746,4207,5868,20497,3828,13519
122,4212,2011,10383.5,69101,40234,4188,5465,19028,4046,13287
123,4212,2012,10490.5,67532,39036,3896,5055,17453,3783,12766
124,4212,2013,10729,69087,40838,3657,4738,16340,4367,12481
125,4212,2014,10828.5,68827,40213.5,3987,5281.5,18329.5,4006,13013.25
126,4213,2010,11653.636363636364,59870,44531,4385,4673,26324,5036,16996
127,4213,2011,11194.545454545454,59430,44810,4089,4490,25626,5012,16685
128,4213,2012,10927.272727272728,59269,47091,3840,4385,24615,4771,16956
129,4213,2013,10690.90909090909,61012,48704,3594,4231,23618,4518,17257
130,4213,2014,10459.09090909091,61536,49904,3474,4412,22771,5237,17058
131,4215,2010,20284.21052631579,82154,59172,9825,1004,17518,849,13338
132,4215,2011,19515.78947368421,81073,58530,9405,961,16591,828,13288
133,4215,2012,18900,79910,58577,9034,926,15712,858,13020
134,4215,2013,18473.684210526317,80388,58380,8551,896,14964,1138,12838
135,4215,2014,18210.526315789473,83660,57797,8097,898,15830,1556,12538
136,6201,2010,48561.11111111111,215135,89728,8068,6176,24082,3224,17769
137,6201,2011,46772.22222222222,215144,89060,7651,5797,23554,3826,17191
138,6201,2012,45816.666666666664,214873,88543,7250,5514,23044,4957,16934
139,6201,2013,45955.555555555555,214591,88987,7072,5227,22613,5235,17338
140,6201,2014,46650,213656,89738,6970,4940,22168,6504,17408
141,6202,2010,21400,55718,34525,766,1650,3597,795,3210
142,6202,2011,20820,56152,35149,750,1545,3711,1081,3129
143,6202,2012,20390,55793,34950,708,1498,3781,1013,3241
144,6202,2013,20150,55162,36357,689,1469,3746,954,3151
145,6202,2014,19980,55706.25,35245.25,728.25,1540.5,3708.75,960.75,3182.75
146,6203,2010,17350.526315789473,80199,57557,6548,11240,21970,5485,17105
147,6203,2011,16777.36842105263,79943,57774,6264,10447,21178,5729,17494
148,6203,2012,16381.578947368422,79653,58006,6535,9668,21213,5762,17078
149,6203,2013,16109.473684210527,79674,58773,6486,8947,22122,6113,17095
150,6203,2014,15889.473684210527,78982,58671,6133,8242,21340,6756,18626
151,6204,2010,20353.75,62294,55937,3853,1194,13705,1397,13517
152,6204,2011,19696.875,62075,57940,3780,1198,12950,1393,13177
153,6204,2012,19240,66381,54171,3623,1105,12126,1470,11801
154,6204,2013,19056.875,63583.333333333336,56016,3752,1165.6666666666667,12927,1420,12831.666666666666
155,6204,2014,18919.375,63583.333333333336,56016,3752,1165.6666666666667,12927,1420,12831.666666666666
156,6205,2010,24866.666666666668,23770,13520,895,546,2062,142,1272
157,6205,2011,23800,23352,13311,912,501,1947,134,1298
158,6205,2012,22966.666666666668,22990,13436,933,459,1832,133,1312
159,6205,2013,22466.666666666668,22718,14504,1007,440,1942,141,1316
160,6205,2014,22033.333333333332,22323,16574,1083,402,1860,166,1325
161,6209,2010,21200,20257,8565,752,355,2849,247,1233
162,6209,2011,20266.666666666668,20119,8621,710,343,2707,258,1285
163,6209,2012,19566.666666666668,19887,9245,683,322,2565,283,1277
164,6209,2013,19066.666666666668,20376,9157,651,333,2434,332,1255
165,6209,2014,18800,20159.75,8897,699,338.25,2638.75,280,1262.5
166,6211,2010,26033.333333333332,49411.666666666664,21445.333333333332,2943.3333333333335,194.66666666666666,4196.666666666667,1126.6666666666667,2399.6666666666665
167,6211,2011,25000,49305,21523,3052,193,4302,989,2461
168,6211,2012,24366.666666666668,49423,21328,2922,186,4161,999,2390
169,6211,2013,24000,49507,21485,2856,205,4127,1392,2348
170,6211,2014,23700,49411.666666666664,21445.333333333332,2943.3333333333335,194.66666666666666,4196.666666666667,1126.6666666666667,2399.6666666666665
171,6212,2010,15766.666666666666,18365,10894,1243,115,7784,1045,3179
172,6212,2011,15300,18020,10651,1183,108,7093,1051,3026
173,6212,2012,14933.333333333334,17762,10458,1129,102,6430,1251,2863
174,6212,2013,14633.333333333334,17816,10203,1084,100,5815,1203,2784
175,6212,2014,14400,17990.75,10551.5,1159.75,106.25,6780.5,1137.5,2963
176,7202,2010,36400,88600,49741,2111,1344,17002,267,18170
177,7202,2011,35011.76470588235,88272,48486,2066,1311,17015,253,17949
178,7202,2012,34802.94117647059,83606,43406,1912,1220,15112,249,15769
179,7202,2013,35008.82352941176,85435,43508,1948,1199,15778,219,15568
180,7202,2014,36032.94117647059,86478.25,46285.25,2009.25,1268.5,16226.75,247,16864
181,7204,2010,28552,274932,110055.33333333333,7717.333333333333,29728.666666666668,27486.333333333332,5383.333333333333,14398.666666666666
182,7204,2011,27724,274932,110055.33333333333,7717.333333333333,29728.666666666668,27486.333333333332,5383.333333333333,14398.666666666666
183,7204,2012,28612,252071,110399,7975,31590,28064,5259,13616
184,7204,2013,30612,273827,109927,7518,29515,27250,5175,14261
185,7204,2014,33006,298898,109840,7659,28081,27145,5716,15319
186,7207,2010,22662.5,77802,31170,2846,1046,4460,657,6663
